개방자치단체코드,상세영업상태명,지번주소,도로명주소
3230000,영업,서울특별시 송파구 가락동 99-1 지상1층 104호 - 108호,"서울특별시 송파구 송파대로28길 12 (가락동, 지상1층 104호-108호)"
3120000,영업,서울특별시 서대문구 창천동 29-30 용성빌딩,"서울특별시 서대문구 연세로4길 12, 용성빌딩 지하1,2층 (창천동)"
3010000,폐업,서울특별시 중구 태평로1가 25-3 외1(지하1층),"서울특별시 중구 세종대로22길 12 (태평로1가,외1(지하1층))"
3010000,폐업,서울특별시 중구 태평로1가 29-2,"서울특별시 중구 세종대로22길 12, 2층 (태평로1가)"
3010000,폐업,서울특별시 중구 광희동1가 193-0 지하1층,"서울특별시 중구 장충단로 225 (광희동1가,지하1층)"
3240000,영업,서울특별시 강동구 암사동 496-17,"서울특별시 강동구 상암로11길 4, 1층 (암사동)"
3200000,영업,서울특별시 관악구 신림동 1425-13,"서울특별시 관악구 신림로 362, 지하1층 (신림동)"
3110000,영업,서울특별시 은평구 대조동 15-84 지하1 층,"서울특별시 은평구 통일로65길 24, 지하1층 (대조동)"
3000000,영업,서울특별시 종로구 신문로1가 31-0 지하1층,"서울특별시 종로구 새문안로 87 (신문로1가,지하1층)"
3010000,영업,서울특별시 중구 북창동 67-0 (2층),"서울특별시 중구 남대문로1길 36 (북창동,(2층))"
3160000,영업,서울특별시 구로구 오류동 55-14 지하1층,"서울특별시 구로구 경인로 208 (오류동,(경인로 717) 지하1층)"
3200000,영업,서울특별시 관악구 신림동 1423-28,"서울특별시 관악구 봉천로12길 69, 지하1층 (신림동)"
3170000,영업,서울특별시 금천구 시흥동 889-13 지하1층 (시흥대로 475),"서울특별시 금천구 시흥대로 212 (시흥동,지하1층 (시흥대로 475))"
3190000,영업,서울특별시 동작구 노량진동 29-6,"서울특별시 동작구 노량진로 86-1, 지하층 (노량진동)"
3110000,영업,서울특별시 은평구 불광동 281-176 지층,"서울특별시 은평구 통일로 714 (불광동, 지층)"
3150000,영업,서울특별시 강서구 마곡동 795-6 뉴골든타워 (지상 5층) 503-1호,"서울특별시 강서구 마곡중앙6로 89, 뉴골든타워 5층 503-1호 (마곡동)"
3230000,영업,서울특별시 송파구 가락동 79-4 세화빌딩,"서울특별시 송파구 송파대로28길 20, 세화빌딩 2층 201A호 (가락동)"
3010000,영업,서울특별시 중구 충무로3가 59-10 (지하1층),"서울특별시 중구 수표로2길 7 (충무로3가,(지하1층))"
3150000,영업,서울특별시 강서구 화곡동 903-4 (지상 2층),"서울특별시 강서구 강서로5길 4, 2층 (화곡동, 1동)"
3170000,영업,서울특별시 금천구 독산동 1035-5 지하1층 (독산역길 5),"서울특별시 금천구 범안로 1252 (독산동,지하1층 (독산역길 5))"
3130000,폐업,서울특별시 마포구 노고산동 57-44 지하1층,"서울특별시 마포구 신촌로18길 21 (노고산동,지하1층)"
3080000,폐업,서울특별시 강북구 수유동 191-29 (지하1층),"서울특별시 강북구 도봉로 355-8 (수유동,(지하1층))"
3020000,영업,서울특별시 용산구 한남동 747-7 (지하2층),"서울특별시 용산구 소월로 322 (한남동,(지하2층))"
3210000,영업,서울특별시 서초구 서초동 1589-4 2층,서울특별시 서초구 반포대로12길 29 (2)층 (서초동)
3200000,영업,서울특별시 관악구 신림동 1640-31 지하1층,"서울특별시 관악구 신림로59길 14, 지하1층 (신림동)"
3010000,영업,서울특별시 중구 충무로4가 125-3 일흥빌딩,"서울특별시 중구 퇴계로 213, 일흥빌딩 지하1층 (충무로4가)"
3010000,영업,서울특별시 중구 주교동 124-1 지하1층,"서울특별시 중구 창경궁로 70, 지하1층 (주교동)"
3000000,영업,서울특별시 종로구 종로3가 6 4층,"서울특별시 종로구 종로 111-1, 4층 (종로3가)"
3050000,폐업,서울특별시 동대문구 장안동 365-1 2층,"서울특별시 동대문구 장한로 102, 2층 (장안동)"
3220000,폐업,서울특별시 강남구 삼성동 49-9,서울특별시 강남구 봉은사로 463 (삼성동)
3180000,영업,서울특별시 영등포구 여의도동 14-11 대하빌딩 지하1층 B10~11호,"서울특별시 영등포구 국회대로70길 19 (여의도동, 대하빌딩 지하1층 B10~11호)"
3080000,영업,서울특별시 강북구 수유동 191-29 피카소모텔 지하1층,"서울특별시 강북구 도봉로 355-8, B1층 (수유동)"
3200000,영업,서울특별시 관악구 신림동 538-1,서울특별시 관악구 난곡로 317 (신림동)
3150000,영업,서울특별시 강서구 마곡동 795-6 뉴골든타워 (지상 6층) 601호,"서울특별시 강서구 마곡중앙6로 89, 6층 601호 (마곡동, 가양 1동 뉴골든타워)"
3180000,영업,서울특별시 영등포구 영등포동3가 15-4,"서울특별시 영등포구 영중로10길 30, 2,3층 (영등포동3가)"
3050000,영업,서울특별시 동대문구 장안동 366-6 지하1층,"서울특별시 동대문구 장한로 106, 지하1층 (장안동)"
3010000,영업,서울특별시 중구 신당동 100-7 1층,"서울특별시 중구 퇴계로78길 6 (신당동, 1층)"
3060000,영업,서울특별시 중랑구 상봉동 91-1,서울특별시 중랑구 망우로 326 (상봉동)
3080000,영업,서울특별시 강북구 수유동 191-30 몽모텔,"서울특별시 강북구 도봉로 355-6, 몽모텔 지하1층 (수유동)"
3080000,영업,서울특별시 강북구 수유동 229-35,"서울특별시 강북구 도봉로87길 7, 3층 (수유동)"
3130000,영업,서울특별시 마포구 서교동 354-2,"서울특별시 마포구 홍익로 29 (서교동, 지하1층)"
3200000,영업,서울특별시 관악구 신림동 527-11,서울특별시 관악구 난곡로66길 14 (신림동)
3120000,영업,서울특별시 서대문구 영천동 325,"서울특별시 서대문구 통일로 189, 지하1층 (영천동)"
3080000,영업,서울특별시 강북구 수유동 229-5 정우빌딩,"서울특별시 강북구 도봉로 333, 정우빌딩 지하1층 (수유동)"
3120000,영업,서울특별시 서대문구 홍제동 305-3,"서울특별시 서대문구 통일로 452, 지층 (홍제동)"
3220000,영업,서울특별시 강남구 삼성동 143-27,"서울특별시 강남구 테헤란로77길 9, 5층 (삼성동)"
3080000,영업,서울특별시 강북구 수유동 229-5 정우빌딩,"서울특별시 강북구 도봉로 333, 정우빌딩 지하1층 (수유동)"
3000000,영업,서울특별시 종로구 낙원동 243-1 지하 1층,"서울특별시 종로구 수표로 133 (낙원동,지하 1층)"
3240000,영업,서울특별시 강동구 길동 450-1,서울특별시 강동구 천호대로175길 11-8 (길동)
3160000,영업,서울특별시 구로구 오류동 55-14,"서울특별시 구로구 경인로 208, 1호 3층 (오류동)"
3050000,폐업,서울특별시 동대문구 답십리동 465-39 (천호대로 59),"서울특별시 동대문구 천호대로 225 (답십리동,(천호대로 59))"
3230000,영업,서울특별시 송파구 가락동 98-7 거북이빌딩 지하1층 107호,"서울특별시 송파구 송파대로28길 13, 거북이빌딩 지하1층 107호 (가락동)"
3150000,영업,서울특별시 강서구 화곡동 901-1 네스트인 Bo1호,"서울특별시 강서구 강서로7길 23, 네스트인 B01호 (화곡동)"
3010000,영업,서울특별시 중구 충무로4가 32-16 (지하1층),"서울특별시 중구 창경궁로1길 38 (충무로4가,(지하1층))"
3120000,영업,서울특별시 서대문구 창천동 18-13,서울특별시 서대문구 연세로4길 6-3 (창천동)
3200000,영업,서울특별시 관악구 신림동 1655-23,"서울특별시 관악구 시흥대로 552-1, 지하1층 1호 (신림동)"
3010000,영업,서울특별시 중구 황학동 809 지상 2층,"서울특별시 중구 난계로11길 6 (황학동,지상 2층)"
3200000,영업,서울특별시 관악구 신림동 1655-23,"서울특별시 관악구 시흥대로 552-1, 지하1층 2호 (신림동)"
3200000,영업,서울특별시 관악구 신림동 1639-5 SU모텔,"서울특별시 관악구 관천로 42, SU모텔 (신림동)"
3200000,영업,서울특별시 관악구 신림동 1655-23,"서울특별시 관악구 시흥대로 552-1, 지하1층 3호 (신림동)"
3220000,영업,서울특별시 강남구 역삼동 824-7 지상3층,"서울특별시 강남구 테헤란로6길 10 (역삼동,지상3층)"
3090000,폐업,서울특별시 도봉구 창동 14-4,"서울특별시 도봉구 마들로11길 25, 지하1층 (창동)"
3000000,영업,서울특별시 종로구 창신동 444-9 임진빌딩,"서울특별시 종로구 종로46길 22, 임진빌딩 지하1층 (창신동)"
3130000,영업,서울특별시 마포구 노고산동 57-18 신촌르?메이에르타운(I),"서울특별시 마포구 서강로 137-7, 신촌르?메이에르타운(I) 지1층 (노고산동)"
3010000,영업,서울특별시 중구 충무로3가 36-4 (지상2층),"서울특별시 중구 충무로2길 2 (충무로3가,(지상2층))"
3220000,영업,서울특별시 강남구 논현동 18-2 렉스관광호텔,"서울특별시 강남구 강남대로 588, 렉스관광호텔 2층 (논현동)"
3220000,영업,서울특별시 강남구 논현동 18-2 렉스관광호텔,"서울특별시 강남구 강남대로 588, 렉스관광호텔 3층 (논현동)"
3210000,영업,서울특별시 서초구 서초동 1308-10,서울특별시 서초구 서초대로77길 37 (서초동)
3200000,폐업,서울특별시 관악구 신림동 1655-9,"서울특별시 관악구 시흥대로 566, 지하1층 (신림동)"
3200000,영업,서울특별시 관악구 봉천동 851-30,"서울특별시 관악구 관악로 192, 지층 (봉천동)"
3180000,폐업,서울특별시 영등포구 영등포동3가 17-12,
3200000,영업,서울특별시 관악구 신림동 1640-2,서울특별시 관악구 남부순환로 1600 (신림동)
3000000,폐업,서울특별시 종로구 당주동 2-3번지 ,
3220000,폐업,서울특별시 강남구 청담동 132-17번지 지하1층 ,
3000000,영업,서울특별시 종로구 인의동 73 지하1층,"서울특별시 종로구 창경궁로 125, 지하1층 (인의동)"
3210000,폐업,서울특별시 서초구 서초동 1337-23번지 지상4층 ,
3000000,영업,서울특별시 종로구 숭인동 200-33 지하1층,"서울특별시 종로구 종로 382, 지하1층 (숭인동)"
3210000,폐업,서울특별시 서초구 서초동 1337-23번지 지상3층 ,
3050000,폐업,서울특별시 동대문구 전농동 295-7 지하1층,"서울특별시 동대문구 사가정로 111, 지하1층 (전농동)"
3110000,영업,서울특별시 은평구 갈현동 395-28,서울특별시 은평구 통일로 863-8 (갈현동)
3080000,영업,서울특별시 강북구 수유동 191-15,서울특별시 강북구 도봉로 343 (수유동)
3240000,영업,서울특별시 강동구 길동 387-7,"서울특별시 강동구 양재대로111길 28, 1층 (길동)"
3230000,영업,서울특별시 송파구 가락동 99-2 지상2층,"서울특별시 송파구 송파대로28길 6, 지상2층 (가락동)"
3030000,영업,서울특별시 성동구 송정동 66-196,서울특별시 성동구 광나루로 323 (송정동)
3000000,영업,서울특별시 종로구 장사동 227-1,서울특별시 종로구 청계천로 137 (장사동)
3150000,영업,서울특별시 강서구 마곡동 795-6 뉴골든타워 (지상 5층) 502-1호,"서울특별시 강서구 마곡중앙6로 89, 뉴골든타워 5층 502-1호 (마곡동)"
3230000,영업,서울특별시 송파구 가락동 79-4 세화빌딩,"서울특별시 송파구 송파대로28길 20, 세화빌딩 지하1층 102,103호 (가락동)"
3110000,영업,서울특별시 은평구 응암동 599-3,서울특별시 은평구 응암로13길 11-4 (응암동)
3000000,영업,서울특별시 종로구 종로5가 231-1번지 (지상2층) ,"서울특별시 종로구 종로 244-1, 지상2층 (종로5가)"
