포인트 wkt,읍면동명
POINT(126.96263332041596072 37.57324553533086231),행촌동
POINT(126.96263032391473757 37.57348811823711543),행촌동
POINT(126.96261298862141587 37.57365517520855747),행촌동
POINT(126.96251804858617618 37.57376499438940698),행촌동
POINT(126.96251804858617618 37.57376499438940698),행촌동
POINT(126.96251804858617618 37.57376499438940698),행촌동
POINT(126.96238863561733012 37.57381301229170134),행촌동
POINT(126.96224774665685686 37.57381067879391168),행촌동
POINT(126.96203778641338999 37.57393419190715633),행촌동
POINT(126.96203778641338999 37.57393419190715633),행촌동
POINT(126.96195436274821589 37.57401197495860146),행촌동
POINT(126.96180763864566643 37.57417441297325666),행촌동
POINT(126.96183349552376285 37.5742156148145412),행촌동
POINT(126.96183349552376285 37.5742156148145412),행촌동
POINT(126.96188812201368989 37.57422478656913967),행촌동
POINT(126.9619225688090296 37.57433693548688325),행촌동
POINT(126.96199725525016788 37.57447884819761441),행촌동
POINT(126.96199725525016788 37.57447884819761441),행촌동
POINT(126.96202887579109131 37.57449487805796906),행촌동
POINT(126.96198567015551362 37.57464361837296707),행촌동
POINT(126.96178717694681382 37.57482892492637916),행촌동
POINT(126.96178717694681382 37.57482892492637916),행촌동
POINT(126.96178429107389718 37.57484952072938),행촌동
POINT(126.96266658200983102 37.57573317415502601),행촌동
POINT(126.96266658200983102 37.57573317415502601),행촌동
POINT(126.96281911950464405 37.57544715653776279),행촌동
POINT(126.96281911950464405 37.57544715653776279),행촌동
POINT(126.96293416385040587 37.57538769103608445),행촌동
POINT(126.96293416385040587 37.57538769103608445),행촌동
POINT(126.96293416385040587 37.57538769103608445),행촌동
POINT(126.96302050866594868 37.57521836717774022),행촌동
POINT(126.96290842060638226 37.57511534833244582),행촌동
POINT(126.96290842060638226 37.57511534833244582),행촌동
POINT(126.96294293284762489 37.57509933948730207),행촌동
POINT(126.96291713519870825 37.57493684601972461),행촌동
POINT(126.96287985445505342 37.57473773250956128),행촌동
POINT(126.96284255230477811 37.57458210097710349),행촌동
POINT(126.96284255230477811 37.57458210097710349),행촌동
POINT(126.96279656625007703 37.57454318154383088),행촌동
POINT(126.96275068511369 37.57429371768463255),행촌동
POINT(126.96270182395856807 37.57425479730536466),행촌동
POINT(126.96270182395856807 37.57425479730536466),행촌동
POINT(126.96292039408345431 37.57416332509524892),행촌동
POINT(126.96311891883318879 37.57390478376955656),행촌동
POINT(126.96311891883318879 37.57390478376955656),행촌동
POINT(126.9631908861143188 37.573733166724125),행촌동
POINT(126.96325134737132601 37.57357070015601153),행촌동
POINT(126.96335212302490447 37.5732846656193189),행촌동
POINT(126.96335212302490447 37.5732846656193189),행촌동
POINT(126.96335212302490447 37.5732846656193189),행촌동
POINT(126.96276522696754796 37.57396188590983144),행촌동
POINT(126.96273934799930316 37.5739641662712458),행촌동
POINT(126.9587905 37.6069117),구기동
POINT(126.9588357 37.6067931),구기동
POINT(126.9584906 37.6066431),구기동
POINT(126.9584906 37.6066431),구기동
POINT(126.9584906 37.6066431),구기동
POINT(126.9584906 37.6066431),구기동
POINT(126.9584788 37.6066026),구기동
POINT(126.9582788 37.6065026),구기동
POINT(126.9580161 37.6063059),구기동
POINT(126.9577886 37.6061560),구기동
POINT(126.9576789 37.6060218),구기동
POINT(126.9576789 37.6060218),구기동
POINT(126.9576789 37.6060218),구기동
POINT(126.9576789 37.6060218),구기동
POINT(126.9576593 37.6059875),구기동
POINT(126.9576241 37.6056753),구기동
POINT(126.9576046 37.6055006),구기동
POINT(126.9574870 37.6053757),구기동
POINT(126.9574870 37.6053757),구기동
POINT(126.9575223 37.6053320),구기동
POINT(126.9575577 37.6052821),구기동
POINT(126.9575735 37.6051011),구기동
POINT(126.9572519 37.6048638),구기동
POINT(126.9571898 37.6047130),구기동
POINT(126.9570563 37.6046130),구기동
POINT(126.9570563 37.6045888),구기동
POINT(126.9570563 37.6045888),구기동
POINT(126.9590914 37.6045129),신영동
POINT(126.9590914 37.6045129),신영동
POINT(126.9590914 37.6045129),신영동
POINT(126.9591489 37.6045083),신영동
POINT(126.9593560 37.6044764),신영동
POINT(126.9596091 37.6042836),신영동
POINT(126.9596208 37.6042613),신영동
POINT(126.9596667 37.6041989),신영동
POINT(126.9597365 37.6041463),신영동
POINT(126.9598627 37.6037671),신영동
POINT(126.9599317 37.6037213),신영동
POINT(126.9599317 37.6037213),신영동
POINT(126.9599317 37.6037213),신영동
POINT(126.9599030 37.6037076),신영동
POINT(126.9600065 37.6035102),신영동
POINT(126.9600355 37.6033323),신영동
POINT(126.9601334 37.6030852),신영동
POINT(126.9601334 37.6030852),신영동
POINT(126.9601334 37.6030852),신영동
POINT(126.9601880 37.6029267),신영동
POINT(126.9603982 37.6027786),신영동
POINT(126.9605016 37.6027872),신영동
POINT(126.9603982 37.6027786),신영동
POINT(126.9607585 37.6026994),신영동
POINT(126.9607585 37.6026994),신영동
POINT(126.9607585 37.6026994),신영동
POINT(126.9608182 37.6026506),신영동
POINT(126.9609851 37.6025866),신영동
POINT(126.9611577 37.6025683),신영동
POINT(126.9612152 37.6025729),신영동
POINT(126.983047 37.558651),회현동2가
POINT(126.983078 37.558628),회현동2가
POINT(126.983078 37.558628),회현동2가
POINT(126.983414 37.558571),회현동2가
POINT(126.983459 37.558571),회현동2가
POINT(126.983459 37.558571),회현동2가
POINT(126.983742 37.558533),회현동2가
POINT(126.983902 37.558567),회현동2가
POINT(126.984024 37.558544),회현동2가
POINT(126.984062 37.558563),회현동2가
POINT(126.984062 37.558563),회현동2가
POINT(126.984116 37.558567),회현동2가
POINT(126.984261 37.558552),회현동2가
POINT(126.984413 37.558548),회현동2가
POINT(126.984413 37.558548),회현동2가
POINT(126.984413 37.558548),회현동2가
POINT(126.984901 37.558487),회현동2가
POINT(126.984947 37.558506),회현동2가
POINT(126.984955 37.558510),회현동2가
POINT(126.985229 37.558510),회현동2가
POINT(126.985413 37.558487),회현동2가
POINT(126.985466 37.558533),회현동2가
POINT(126.985466 37.558533),회현동2가
POINT(126.985466 37.558533),회현동2가
POINT(126.985680 37.560612),남산동1가
POINT(126.985641 37.560577),남산동1가
POINT(126.985565 37.560375),남산동1가
POINT(126.985565 37.560375),남산동1가
POINT(126.985680 37.559967),남산동1가
POINT(126.985672 37.559803),남산동1가
POINT(126.985672 37.559803),남산동1가
POINT(126.985771 37.559551),남산동1가
POINT(126.985771 37.559551),남산동1가
POINT(126.985802 37.559410),남산동1가
POINT(126.985863 37.559185),남산동1가
POINT(126.985863 37.559185),남산동1가
POINT(126.986046 37.558929),남산동1가
POINT(126.986046 37.558929),남산동1가
POINT(126.986069 37.558914),남산동1가
POINT(126.986076 37.558739),남산동1가
POINT(126.986183 37.558670),남산동1가
POINT(126.986183 37.558670),남산동1가
POINT(126.986351 37.558487),남산동1가
POINT(126.986496 37.558273),남산동1가
POINT(126.986496 37.558273),남산동1가
POINT(126.986496 37.558094),남산동1가
POINT(126.986588 37.557892),남산동1가
POINT(126.986664 37.557735),남산동1가
POINT(126.986664 37.557735),남산동1가
POINT(126.986664 37.557735),남산동1가
POINT(126.986633 37.557636),남산동1가
POINT(126.993927 37.560738),필동2가
POINT(126.993927 37.560738),필동2가
POINT(126.994080 37.560715),필동2가
POINT(126.994102 37.560703),필동2가
POINT(126.994255 37.560680),필동2가
POINT(126.994431 37.560658),필동2가
POINT(126.994621 37.560631),필동2가
POINT(126.994820 37.560589),필동2가
POINT(126.994929 37.560492),필동2가
POINT(126.994929 37.560492),필동2가
POINT(126.994929 37.560492),필동2가
POINT(126.995407 37.560364),필동2가
POINT(126.995453 37.560284),필동2가
POINT(126.995468 37.560295),필동2가
POINT(126.995544 37.560265),필동2가
POINT(126.995468 37.560219),필동2가
POINT(126.995453 37.560040),필동2가
POINT(126.995461 37.560040),필동2가
POINT(126.995461 37.560040),필동2가
POINT(126.995468 37.559662),필동2가
POINT(126.995499 37.559513),필동2가
POINT(126.995499 37.559513),필동2가
POINT(126.995529 37.559452),필동2가
POINT(126.995491 37.559299),필동2가
POINT(126.995468 37.558758),필동2가
POINT(126.995483 37.558731),필동2가
POINT(126.995483 37.558731),필동2가
POINT(126.995491 37.558693),필동2가
POINT(126.995499 37.558670),필동2가
POINT(126.995613 37.558361),필동2가
POINT(126.995667 37.558167),필동2가
POINT(126.995667 37.558167),필동2가
POINT(126.995674 37.558163),필동2가
POINT(126.995728 37.557858),필동2가
POINT(126.995728 37.557858),필동2가
POINT(127.017912 37.563608),신당동
POINT(126.995728 37.557858),필동2가
POINT(126.995697 37.557568),필동2가
POINT(126.995697 37.557568),필동2가
POINT(126.995697 37.557564),필동2가
POINT(126.995667 37.557411),필동2가
POINT(126.995621 37.557304),필동2가
POINT(126.995514 37.557030),필동2가
POINT(126.995514 37.557030),필동2가
POINT(126.995529 37.558681),필동2가
POINT(127.0027883 37.5590126),장충동2가
POINT(127.0027538 37.5590227),장충동2가
POINT(127.0026714 37.5590383),장충동2가
POINT(127.0025813 37.5590165),장충동2가
POINT(127.0023225 37.5589416),장충동2가
POINT(127.0022637 37.5589104),장충동2가
POINT(127.0021892 37.5588698),장충동2가
POINT(127.0021030 37.5588074),장충동2가
POINT(127.0019971 37.5587574),장충동2가
POINT(127.0018286 37.5587606),장충동2가
POINT(127.0017619 37.5588136),장충동2가
POINT(127.0015384 37.5589603),장충동2가
POINT(127.0015149 37.5589884),장충동2가
POINT(127.0014522 37.5590102),장충동2가
POINT(127.0014836 37.5590945),장충동2가
POINT(127.0014679 37.5592069),장충동2가
POINT(127.0014836 37.5592818),장충동2가
POINT(127.0003976 37.5591788),장충동2가
POINT(127.0006838 37.5596001),장충동2가
POINT(127.0006681 37.5595751),장충동2가
POINT(127.0006132 37.5595876),장충동2가
POINT(127.0004799 37.5595627),장충동2가
POINT(127.0004329 37.5595002),장충동2가
POINT(127.0004094 37.5594378),장충동2가
POINT(127.0004015 37.5594004),장충동2가
POINT(127.0003858 37.5592131),장충동2가
POINT(127.0004172 37.5590571),장충동2가
POINT(127.0004486 37.5589946),장충동2가
POINT(127.0004721 37.5589197),장충동2가
POINT(127.0005035 37.5588573),장충동2가
POINT(127.0006015 37.5588043),장충동2가
POINT(127.0010092 37.5587574),장충동2가
POINT(127.0011542 37.5587075),장충동2가
POINT(127.0012366 37.5586420),장충동2가
POINT(127.0012954 37.5586388),장충동2가
POINT(127.0013581 37.5586139),장충동2가
POINT(127.0013895 37.5586170),장충동2가
POINT(127.0014443 37.5586045),장충동2가
POINT(127.016172 37.564126),신당동
POINT(127.016172 37.564126),신당동
POINT(127.016568 37.564017),신당동
POINT(127.016568 37.564017),신당동
POINT(127.016544 37.563986),신당동
POINT(127.017050 37.563826),신당동
POINT(127.017632 37.563789),신당동
POINT(127.017163 37.563895),신당동
POINT(127.017163 37.563895),신당동
POINT(127.017469 37.563776),신당동
POINT(127.017783 37.563733),신당동
POINT(127.017912 37.563608),신당동
POINT(127.017912 37.563608),신당동
POINT(127.018328 37.563561),신당동
